,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
413,01/02/21,1232,10265.0,10274.0,10265.0,10274.0,10
414,01/02/21,1233,10265.0,10266.0,10265.0,10265.0,61
415,01/02/21,1234,10261.0,10261.0,10251.0,10252.0,157
416,01/02/21,1235,10256.0,10256.0,10249.0,10249.0,3
417,01/02/21,1236,10245.0,10249.0,10244.0,10244.0,118
418,01/02/21,1237,10245.0,10245.0,10240.0,10240.0,106
419,01/02/21,1238,10223.0,10223.0,10222.0,10222.0,24
420,01/02/21,1240,10239.0,10239.0,10239.0,10239.0,2
421,01/02/21,1241,10239.0,10240.0,10239.0,10240.0,2
422,01/02/21,1245,10260.0,10260.0,10260.0,10260.0,24
423,01/02/21,1246,10257.0,10257.0,10233.0,10233.0,100
424,01/02/21,1247,10233.0,10233.0,10233.0,10233.0,1
425,01/02/21,1249,10224.0,10224.0,10224.0,10224.0,30
426,01/02/21,1251,10243.0,10243.0,10243.0,10243.0,1
427,01/02/21,1253,10235.0,10235.0,10235.0,10235.0,17
428,01/02/21,1258,10250.0,10250.0,10250.0,10250.0,1
429,01/02/21,1259,10250.0,10250.0,10250.0,10250.0,4
430,01/02/21,1260,10259.0,10259.0,10257.0,10257.0,128
431,01/02/21,1261,10260.0,10260.0,10260.0,10260.0,1
432,01/02/21,1262,10261.0,10261.0,10260.0,10260.0,43
433,01/02/21,1264,10260.0,10260.0,10260.0,10260.0,1
434,01/02/21,1265,10260.0,10269.0,10260.0,10264.0,7
435,01/02/21,1266,10264.0,10264.0,10264.0,10264.0,2
436,01/02/21,1267,10264.0,10264.0,10264.0,10264.0,33
437,01/02/21,1268,10264.0,10264.0,10263.0,10263.0,2
438,01/02/21,1269,10272.0,10284.0,10272.0,10284.0,10
439,01/02/21,1270,10280.0,10280.0,10276.0,10276.0,6
440,01/02/21,1271,10270.0,10270.0,10260.0,10261.0,11
441,01/02/21,1274,10280.0,10280.0,10280.0,10280.0,1
442,01/02/21,1275,10284.0,10284.0,10284.0,10284.0,2
443,01/02/21,1276,10287.0,10287.0,10284.0,10284.0,10
444,01/02/21,1277,10282.0,10282.0,10282.0,10282.0,7
445,01/02/21,1278,10275.0,10275.0,10275.0,10275.0,4
446,01/02/21,1281,10271.0,10275.0,10271.0,10275.0,34
447,01/02/21,1282,10280.0,10289.0,10280.0,10289.0,8
448,01/02/21,1283,10289.0,10290.0,10287.0,10287.0,34
449,01/02/21,1284,10287.0,10295.0,10287.0,10295.0,11
450,01/02/21,1285,10297.0,10298.0,10297.0,10298.0,3
451,01/02/21,1286,10298.0,10299.0,10297.0,10298.0,15
452,01/02/21,1287,10287.0,10287.0,10285.0,10285.0,36
453,01/02/21,1288,10286.0,10286.0,10286.0,10286.0,1
454,01/02/21,1289,10281.0,10284.0,10275.0,10284.0,57
455,01/02/21,1290,10282.0,10282.0,10270.0,10274.0,19
456,01/02/21,1291,10274.0,10274.0,10274.0,10274.0,2
457,01/02/21,1292,10274.0,10278.0,10274.0,10274.0,24
458,01/02/21,1293,10277.0,10277.0,10277.0,10277.0,1
459,01/02/21,1294,10278.0,10287.0,10278.0,10287.0,4
460,01/02/21,1295,10281.0,10281.0,10280.0,10280.0,96
461,01/02/21,1296,10277.0,10277.0,10261.0,10261.0,203
462,01/02/21,1297,10255.0,10255.0,10250.0,10250.0,3
463,01/02/21,1298,10250.0,10250.0,10250.0,10250.0,17
464,01/02/21,1301,10250.0,10250.0,10248.0,10248.0,12
465,01/02/21,1303,10235.0,10235.0,10235.0,10235.0,1
466,01/02/21,1304,10235.0,10235.0,10233.0,10233.0,2
467,01/02/21,1306,10234.0,10234.0,10234.0,10234.0,1
468,01/02/21,1307,10229.0,10229.0,10224.0,10224.0,4
469,01/02/21,1308,10220.0,10220.0,10211.0,10211.0,4
470,01/02/21,1320,10245.0,10245.0,10245.0,10245.0,1
471,01/02/21,1321,10245.0,10245.0,10245.0,10245.0,2
472,01/02/21,1322,10244.0,10245.0,10238.0,10238.0,6
473,01/02/21,1324,10234.0,10234.0,10234.0,10234.0,11
474,01/02/21,1325,10233.0,10233.0,10233.0,10233.0,1
475,01/02/21,1326,10227.0,10227.0,10227.0,10227.0,1
476,01/02/21,1328,10234.0,10234.0,10234.0,10234.0,1
477,01/02/21,1333,10235.0,10235.0,10231.0,10231.0,2
478,01/02/21,1334,10230.0,10231.0,10230.0,10231.0,5
479,01/02/21,1338,10231.0,10231.0,10231.0,10231.0,1
480,01/02/21,1339,10228.0,10228.0,10228.0,10228.0,5
481,01/02/21,1341,10218.0,10218.0,10212.0,10212.0,3
482,01/02/21,1342,10211.0,10211.0,10205.0,10205.0,48
483,01/02/21,1343,10190.0,10190.0,10187.0,10187.0,10
484,01/02/21,1345,10200.0,10200.0,10200.0,10200.0,6
485,01/02/21,1346,10205.0,10205.0,10205.0,10205.0,1
486,01/02/21,1350,10218.0,10220.0,10218.0,10220.0,3
487,01/02/21,1351,10218.0,10218.0,10213.0,10213.0,2
488,01/02/21,1352,10205.0,10205.0,10205.0,10205.0,10
489,01/02/21,1353,10205.0,10205.0,10205.0,10205.0,1
490,01/02/21,1354,10205.0,10205.0,10205.0,10205.0,1
491,01/02/21,1355,10208.0,10208.0,10208.0,10208.0,8
492,01/02/21,1356,10207.0,10207.0,10207.0,10207.0,48
493,01/02/21,1357,10207.0,10207.0,10205.0,10205.0,25
494,01/02/21,1358,10196.0,10196.0,10195.0,10195.0,7
495,01/02/21,1359,10186.0,10186.0,10183.0,10183.0,5
496,01/02/21,1360,10180.0,10180.0,10180.0,10180.0,1
497,01/02/21,1361,10182.0,10183.0,10182.0,10183.0,105
498,01/02/21,1365,10208.0,10208.0,10208.0,10208.0,75
499,01/02/21,1366,10218.0,10218.0,10208.0,10208.0,13
500,01/02/21,1367,10215.0,10215.0,10215.0,10215.0,15
501,01/02/21,1371,10218.0,10218.0,10218.0,10218.0,5
502,01/02/21,1373,10222.0,10222.0,10222.0,10222.0,4
503,01/02/21,1374,10222.0,10222.0,10218.0,10218.0,89
504,01/02/21,1377,10215.0,10215.0,10205.0,10205.0,15
505,01/02/21,1378,10205.0,10205.0,10200.0,10200.0,2
506,01/02/21,1380,10205.0,10205.0,10205.0,10205.0,3
507,01/02/21,1383,10215.0,10218.0,10210.0,10210.0,101
508,01/02/21,1385,10222.0,10229.0,10222.0,10229.0,2
509,01/02/21,1386,10222.0,10222.0,10222.0,10222.0,40
510,01/02/21,1387,10221.0,10221.0,10221.0,10221.0,40
511,01/02/21,1388,10222.0,10222.0,10222.0,10222.0,21
512,01/02/21,1391,10228.0,10228.0,10222.0,10222.0,5
513,01/02/21,1392,10215.0,10215.0,10210.0,10210.0,13
514,01/02/21,1393,10222.0,10222.0,10222.0,10222.0,1
515,01/02/21,1394,10222.0,10222.0,10222.0,10222.0,2
516,01/02/21,1395,10219.0,10219.0,10219.0,10219.0,2
517,01/02/21,1400,10220.0,10220.0,10220.0,10220.0,4
518,01/02/21,1402,10220.0,10220.0,10220.0,10220.0,1
519,01/02/21,1403,10223.0,10223.0,10223.0,10223.0,100
520,01/02/21,1404,10223.0,10223.0,10223.0,10223.0,50
521,01/02/21,1406,10224.0,10224.0,10224.0,10224.0,1
522,01/02/21,1410,10230.0,10230.0,10230.0,10230.0,3
523,01/02/21,1413,10230.0,10230.0,10229.0,10229.0,29
524,01/02/21,1416,10245.0,10245.0,10245.0,10245.0,1
525,01/02/21,1417,10254.0,10254.0,10250.0,10250.0,11
526,01/02/21,1419,10251.0,10251.0,10251.0,10251.0,1
527,01/02/21,1420,10251.0,10251.0,10251.0,10251.0,1
528,01/02/21,1421,10251.0,10251.0,10251.0,10251.0,5
529,01/02/21,1423,10251.0,10251.0,10251.0,10251.0,2
530,01/02/21,1424,10255.0,10258.0,10255.0,10258.0,50
531,01/02/21,1428,10254.0,10254.0,10254.0,10254.0,3
532,01/02/21,1429,10253.0,10253.0,10253.0,10253.0,2
533,01/02/21,1430,10253.0,10253.0,10253.0,10253.0,51
534,02/02/21,601,10206.0,10206.0,10205.0,10206.0,13
535,02/02/21,604,10250.0,10250.0,10250.0,10250.0,127
536,02/02/21,605,10250.0,10250.0,10250.0,10250.0,2
537,02/02/21,606,10260.0,10261.0,10260.0,10260.0,12
538,02/02/21,607,10260.0,10299.0,10260.0,10268.0,42
539,02/02/21,608,10270.0,10270.0,10266.0,10266.0,47
540,02/02/21,609,10263.0,10289.0,10261.0,10261.0,9
541,02/02/21,610,10269.0,10269.0,10269.0,10269.0,1
542,02/02/21,612,10251.0,10251.0,10251.0,10251.0,10
543,02/02/21,613,10250.0,10272.0,10250.0,10272.0,19
544,02/02/21,614,10260.0,10277.0,10260.0,10276.0,16
545,02/02/21,615,10276.0,10276.0,10255.0,10255.0,115
546,02/02/21,616,10277.0,10277.0,10277.0,10277.0,1
547,02/02/21,617,10277.0,10277.0,10277.0,10277.0,16
548,02/02/21,618,10277.0,10277.0,10277.0,10277.0,7
549,02/02/21,619,10277.0,10277.0,10260.0,10261.0,16
550,02/02/21,620,10264.0,10277.0,10264.0,10277.0,3
551,02/02/21,621,10277.0,10277.0,10277.0,10277.0,2
552,02/02/21,622,10276.0,10290.0,10276.0,10290.0,38
553,02/02/21,623,10300.0,10300.0,10300.0,10300.0,94
554,02/02/21,624,10300.0,10300.0,10300.0,10300.0,47
555,02/02/21,625,10300.0,10300.0,10300.0,10300.0,580
556,02/02/21,626,10300.0,10300.0,10300.0,10300.0,339
557,02/02/21,627,10300.0,10300.0,10295.0,10295.0,81
558,02/02/21,628,10300.0,10300.0,10300.0,10300.0,10
559,02/02/21,629,10297.0,10299.0,10290.0,10297.0,19
560,02/02/21,630,10279.0,10300.0,10277.0,10298.0,25
561,02/02/21,631,10298.0,10298.0,10298.0,10298.0,1
562,02/02/21,633,10298.0,10298.0,10298.0,10298.0,1
563,02/02/21,634,10300.0,10300.0,10298.0,10298.0,12
564,02/02/21,635,10300.0,10300.0,10293.0,10300.0,65
565,02/02/21,636,10300.0,10300.0,10296.0,10296.0,6
566,02/02/21,638,10299.0,10299.0,10289.0,10289.0,5
567,02/02/21,639,10288.0,10288.0,10288.0,10288.0,1
568,02/02/21,640,10288.0,10288.0,10288.0,10288.0,1
569,02/02/21,641,10300.0,10300.0,10285.0,10285.0,11
570,02/02/21,642,10284.0,10284.0,10284.0,10284.0,6
571,02/02/21,644,10278.0,10278.0,10275.0,10275.0,62
572,02/02/21,645,10274.0,10283.0,10274.0,10283.0,11
573,02/02/21,646,10284.0,10284.0,10284.0,10284.0,1
574,02/02/21,648,10285.0,10285.0,10280.0,10280.0,15
575,02/02/21,649,10280.0,10280.0,10280.0,10280.0,6
576,02/02/21,652,10285.0,10285.0,10254.0,10254.0,16
577,02/02/21,654,10261.0,10300.0,10261.0,10261.0,29
578,02/02/21,657,10268.0,10268.0,10262.0,10262.0,11
579,02/02/21,658,10263.0,10263.0,10263.0,10263.0,1
580,02/02/21,659,10291.0,10291.0,10291.0,10291.0,2
581,02/02/21,661,10290.0,10291.0,10290.0,10291.0,7
582,02/02/21,662,10291.0,10291.0,10291.0,10291.0,3
583,02/02/21,664,10299.0,10300.0,10299.0,10300.0,5
584,02/02/21,665,10300.0,10300.0,10300.0,10300.0,1
585,02/02/21,666,10300.0,10300.0,10300.0,10300.0,40
586,02/02/21,668,10300.0,10300.0,10300.0,10300.0,10
587,02/02/21,669,10293.0,10293.0,10293.0,10293.0,2
588,02/02/21,670,10291.0,10299.0,10290.0,10292.0,25
589,02/02/21,672,10289.0,10289.0,10289.0,10289.0,1
590,02/02/21,674,10289.0,10289.0,10289.0,10289.0,1
591,02/02/21,675,10289.0,10289.0,10289.0,10289.0,7
592,02/02/21,676,10271.0,10271.0,10271.0,10271.0,1
593,02/02/21,677,10272.0,10272.0,10272.0,10272.0,1
594,02/02/21,680,10272.0,10272.0,10272.0,10272.0,5
595,02/02/21,681,10273.0,10284.0,10272.0,10284.0,41
596,02/02/21,682,10284.0,10284.0,10284.0,10284.0,1
597,02/02/21,683,10284.0,10284.0,10284.0,10284.0,1
598,02/02/21,684,10284.0,10285.0,10284.0,10285.0,3
599,02/02/21,685,10285.0,10285.0,10285.0,10285.0,1
600,02/02/21,686,10286.0,10286.0,10286.0,10286.0,50
601,02/02/21,687,10286.0,10286.0,10286.0,10286.0,3
602,02/02/21,688,10289.0,10289.0,10289.0,10289.0,26
603,02/02/21,689,10300.0,10300.0,10300.0,10300.0,236
604,02/02/21,690,10300.0,10300.0,10300.0,10300.0,2
605,02/02/21,691,10300.0,10300.0,10300.0,10300.0,1
606,02/02/21,692,10300.0,10300.0,10300.0,10300.0,2
607,02/02/21,694,10285.0,10299.0,10285.0,10290.0,29
608,02/02/21,695,10299.0,10299.0,10299.0,10299.0,11
609,02/02/21,696,10299.0,10299.0,10299.0,10299.0,5
610,02/02/21,698,10290.0,10295.0,10289.0,10295.0,5
611,02/02/21,699,10289.0,10292.0,10283.0,10292.0,38
612,02/02/21,700,10277.0,10277.0,10277.0,10277.0,22
613,02/02/21,701,10277.0,10277.0,10277.0,10277.0,1
